device_id,attribution_time,channel,campaign_id,attribution_cost
20240114_m2qw4wsuj3,2024-01-14 12:54:17,ironSource,ID_fdgj123,1
20240221_6yfr3y2bxz,2024-02-21 05:22:09,adMob,Small_games24,1
20240417_555miqhr5g,2024-04-17 13:47:41,youtube,Shorts_v3,6
20240206_mcrmp0jn3t,2024-02-06 05:41:23,youtube,Promocode_target11,3
20240315_hzran3cn0r,2024-03-15 11:07:22,tiktok_ads,Campaign_pre34,4
20240412_avj7sn7v1t,2024-04-12 07:52:00,youtube,Promocode_target11,3
20240112_3o4bjguqfa,2024-01-12 22:41:20,tiktok_ads,Campaign_LSR14,2
20240129_hzi53ucj0t,2024-01-29 12:16:49,appLovin,Campaign332,7
20240322_huf17vytlh,2024-03-22 10:22:10,youtube,Shorts_v3,5
20240427_ixkxlyzc0e,2024-04-27 23:10:18,adMob,pop_Games,4
20240205_wfbzhcf5o9,2024-02-05 20:28:07,adMob,Small_games24,2
20240205_obmvyc7sfb,2024-02-05 19:52:00,youtube,Promocode_target11,6
20240107_nv6wcjim2r,2024-01-07 14:34:01,tiktok_ads,Campaign_LSR14,2
20240126_dt9pvz95cc,2024-01-26 00:13:46,appLovin,Campaign_1221,5
20240410_5i6tq4jt6j,2024-04-10 19:43:04,tiktok_ads,Campaign_LSR14,1
20240311_qllojz679x,2024-03-11 10:56:13,tiktok_ads,Campaign_pre34,4
20240404_rcq6dgzb1n,2024-04-04 19:58:34,tiktok_ads,Campaign_eeR_v2,4
20240428_6uovhtdn03,2024-04-28 01:49:44,tiktok_ads,Campaign_KAW23,1
20240119_f3xjfqcam5,2024-01-19 18:25:21,ironSource,ID_4443d,3
20240429_ozttgfz65k,2024-04-29 10:26:52,tiktok_ads,Campaign_KAW23,2
20240413_gmidqo4y04,2024-04-13 11:42:50,tiktok_ads,Campaign_LSR14,3
20240118_n8tbco8egu,2024-01-18 13:34:04,tiktok_ads,Campaign_LSR14,3
20240408_ixtazyplw8,2024-04-08 06:50:23,youtube,Promocode_target11,3
20240330_9dpbfxtewk,2024-03-30 13:10:19,youtube,Promocode_top,5
20240424_p8pdobyr5z,2024-04-24 00:24:03,ironSource,ID_4443d,2
20240315_uzpb6jti93,2024-03-15 10:14:11,appLovin,Campaign332,6
20240315_kclgbdqsr9,2024-03-15 15:15:05,tiktok_ads,Campaign_eeR_v2,4
20240105_z1clnfwer4,2024-01-05 00:25:59,youtube,Promocode_top,6
20240116_bbr6xmulbf,2024-01-16 01:36:58,youtube,Promocode_target11,6
20240227_lkx8fa48dp,2024-02-27 22:26:02,ironSource,ID_ekvpa23,3
20240204_xsgclqsw3z,2024-02-04 17:22:28,youtube,Promocode_top,8
20240323_vo28p0a120,2024-03-23 08:11:06,tiktok_ads,Campaign_pre34,2
20240310_urxiwy4ofb,2024-03-10 09:31:24,adMob,pop_Games,4
20240325_a9mx4ouv8j,2024-03-25 15:11:46,tiktok_ads,Campaign_LSR14,2
20240310_pa4vrjbaps,2024-03-10 13:38:40,adMob,target_apps1212,5
20240414_kdp6kt5zjm,2024-04-14 12:19:37,youtube,referral_target,10
20240202_s77jz83tta,2024-02-02 03:11:55,adMob,Small_games24,2
20240329_xnkim46l0u,2024-03-29 16:10:50,youtube,Promocode_target11,5
20240127_pjk6g9riqp,2024-01-27 18:21:33,tiktok_ads,Campaign_KAW23,1
20240416_0pzcpqnibm,2024-04-16 18:46:09,appLovin,Campaign_1221,7
20240102_3m2tz38f44,2024-01-02 10:56:35,youtube,Shorts_v3,5
20240126_j4rym8u5jc,2024-01-26 02:55:18,youtube,referral_target,8
20240408_86qvtfsjyc,2024-04-08 20:45:00,appLovin,Campaign_1221,5
20240202_5486aq4oc0,2024-02-02 10:34:11,tiktok_ads,Campaign_KAW23,2
20240113_o009ab7sd7,2024-01-13 23:06:54,tiktok_ads,Campaign_KAW23,1
20240221_9ko41awse0,2024-02-21 23:24:59,youtube,Promocode_target11,4
20240111_ffsyaukk1s,2024-01-11 02:10:00,appLovin,Campaign_1221,6
20240320_pw0a81ju9w,2024-03-20 11:59:54,youtube,referral_target,7
20240413_yws25nayid,2024-04-13 20:55:51,appLovin,Campaign332,6
20240202_s9d1t4gfs5,2024-02-02 01:40:45,adMob,target_apps1212,3
20240405_2qg1g30x12,2024-04-05 23:32:48,tiktok_ads,Campaign_eeR_v2,4
20240306_17qjd7n64x,2024-03-06 14:20:07,youtube,referral_target,6
20240416_kw65hs81sv,2024-04-16 16:16:05,adMob,target_apps1212,5
20240106_5lhiz4qxsf,2024-01-06 15:43:24,youtube,referral_target,8
20240204_dc4g8e09py,2024-02-04 08:27:46,adMob,Small_games24,2
20240218_zqgr3u7hu3,2024-02-18 13:30:43,tiktok_ads,Campaign_eeR_v2,3
20240110_a02ydtvt5n,2024-01-10 09:37:33,youtube,Shorts_v3,4
20240321_6gr46env1h,2024-03-21 18:47:54,ironSource,ID_4443d,3
20240207_ipdawwcd4h,2024-02-07 16:13:08,appLovin,Campaign_1221,8
20240102_yqvf9duufr,2024-01-02 23:19:49,tiktok_ads,Campaign_LSR14,1
20240206_7c4zcxl627,2024-02-06 08:22:19,youtube,Shorts_v3,6
20240323_nl1dh9u8fx,2024-03-23 11:52:34,tiktok_ads,Campaign_LSR14,1
20240415_a78yjmdrji,2024-04-15 21:32:37,youtube,Shorts_v3,5
20240415_nwft8g9u3n,2024-04-15 13:34:08,youtube,Promocode_top,4
20240412_7potnxl1sl,2024-04-12 13:01:53,appLovin,Campaign_1221,6
20240319_9xpniuclho,2024-03-19 22:54:56,tiktok_ads,Campaign_pre34,4
20240317_mtt7yfgfy7,2024-03-17 14:49:17,tiktok_ads,Campaign_KAW23,2
20240229_1yonqbetjq,2024-02-29 07:03:30,youtube,Promocode_top,5
20240118_kft8fczc7n,2024-01-18 10:57:53,ironSource,ID_ekvpa23,2
20240112_d0c5mapqte,2024-01-12 17:25:43,tiktok_ads,Campaign_KAW23,2
20240318_mkti8wh8n2,2024-03-18 10:06:43,youtube,referral_target,10
20240131_2ngom6vlja,2024-01-31 07:36:16,adMob,target_apps1212,6
20240120_45iiem4xsn,2024-01-20 06:49:32,ironSource,ID_ekvpa23,3
20240402_y0t548wyad,2024-04-02 04:24:55,appLovin,Campaign_1221,5
20240314_j57am4okq4,2024-03-14 15:28:04,tiktok_ads,Campaign_LSR14,1
20240314_h1ipw19h24,2024-03-14 03:25:44,appLovin,Campaign332,7
20240409_6tgmusi2ji,2024-04-09 19:12:36,tiktok_ads,Campaign_eeR_v2,4
20240319_ayffkl0jz5,2024-03-19 12:10:53,youtube,referral_target,7
20240218_6kfjajyzzw,2024-02-18 11:36:50,adMob,pop_Games,4
20240320_vzilhujein,2024-03-20 21:49:57,youtube,Promocode_top,6
20240106_h575479uar,2024-01-06 15:32:25,tiktok_ads,Campaign_LSR14,1
20240119_dorhv2wnni,2024-01-19 02:24:34,adMob,target_apps1212,5
20240217_xbi6jse01v,2024-02-17 08:27:55,tiktok_ads,Campaign_KAW23,1
20240328_nfhl9se8eu,2024-03-28 04:44:04,appLovin,Campaign_1221,6
20240415_uxudlk0gci,2024-04-15 00:28:17,youtube,Shorts_v3,6
20240402_ewobf1l30m,2024-04-02 03:30:47,adMob,pop_Games,5
20240208_zc7sx9e039,2024-02-08 06:33:32,youtube,referral_target,7
20240125_drws7ar6rm,2024-01-25 05:53:30,adMob,pop_Games,4
20240122_07vb2iyopo,2024-01-22 10:10:53,tiktok_ads,Campaign_eeR_v2,3
20240321_zd59frl8bh,2024-03-21 08:48:22,youtube,Promocode_top,4
20240121_5d25yuk721,2024-01-21 01:30:44,tiktok_ads,Campaign_LSR14,2
20240319_ed7wlcre7z,2024-03-19 04:21:58,appLovin,Campaign332,6
20240113_r3eqnin5ed,2024-01-13 00:20:34,tiktok_ads,Campaign_eeR_v2,3
20240102_ezd18lz339,2024-01-02 08:04:49,youtube,Promocode_target11,3
20240409_32axfyd0gj,2024-04-09 01:38:14,tiktok_ads,Campaign_LSR14,2
20240201_xnnv26gorp,2024-02-01 07:56:08,tiktok_ads,Campaign_pre34,3
20240109_9u260mlzmj,2024-01-09 20:55:56,tiktok_ads,Campaign_eeR_v2,5
20240227_ujj7u92jz1,2024-02-27 10:01:50,adMob,pop_Games,4
20240104_0wopmq4xgf,2024-01-04 05:36:27,youtube,referral_target,8
20240413_cuk6a8muz0,2024-04-13 22:21:42,tiktok_ads,Campaign_eeR_v2,3
20240320_d3z1dlvqof,2024-03-20 17:07:39,tiktok_ads,Campaign_pre34,4
20240212_d7bjz6543l,2024-02-12 21:04:08,tiktok_ads,Campaign_LSR14,3
20240427_bo0krt3xp2,2024-04-27 20:14:54,appLovin,Campaign332,6
20240208_q09lg6jorf,2024-02-08 11:30:44,youtube,Shorts_v3,4
20240207_fhnv54awfm,2024-02-07 22:56:13,youtube,referral_target,6
20240429_245cui252v,2024-04-29 16:39:19,tiktok_ads,Campaign_KAW23,2
20240128_z9gu3eke94,2024-01-28 19:02:47,tiktok_ads,Campaign_eeR_v2,5
20240225_czdfo4idnw,2024-02-25 15:17:15,tiktok_ads,Campaign_LSR14,1
20240326_p9c5iuu83n,2024-03-26 03:39:59,youtube,referral_target,9
20240111_y9qtwlb6so,2024-01-11 06:46:53,youtube,Shorts_v3,6
20240309_1lkxxn2jby,2024-03-09 23:22:20,adMob,target_apps1212,4
20240313_z5epq11sml,2024-03-13 10:16:28,appLovin,Campaign332,7
20240404_6nlhi3tdxv,2024-04-04 09:22:32,youtube,Promocode_top,4
20240125_hovoc0z039,2024-01-25 18:14:38,appLovin,Campaign332,6
20240106_z9nfzmwrzc,2024-01-06 01:29:03,tiktok_ads,Campaign_pre34,3
20240315_v8rclnrtlv,2024-03-15 05:12:22,adMob,target_apps1212,4
20240415_7qa4lf8r33,2024-04-15 02:22:51,tiktok_ads,Campaign_KAW23,2
20240115_knzhzn6a3l,2024-01-15 18:27:33,adMob,target_apps1212,6
20240411_7inv42fo2v,2024-04-11 21:17:43,youtube,referral_target,9
20240322_61crv2mc3c,2024-03-22 03:23:29,tiktok_ads,Campaign_KAW23,2
20240302_145xgahzb5,2024-03-02 18:08:45,youtube,Promocode_target11,5
20240207_kw9j2sf0om,2024-02-07 19:31:20,adMob,Small_games24,2
20240428_bxkmdpnp8e,2024-04-28 06:27:53,youtube,Promocode_target11,4
20240331_icfos3uuhk,2024-03-31 21:57:33,youtube,Shorts_v3,6
20240221_wbnfeswkmd,2024-02-21 02:42:27,tiktok_ads,Campaign_LSR14,2
20240325_r2oyanlj5i,2024-03-25 09:46:58,tiktok_ads,Campaign_LSR14,1
20240226_g1uv2lukc4,2024-02-26 22:55:35,tiktok_ads,Campaign_KAW23,2
20240429_cpdkhs1fxk,2024-04-29 19:52:27,adMob,Small_games24,2
20240413_ntfzs1jkwd,2024-04-13 09:48:51,youtube,Promocode_target11,3
20240117_nwkjhllo4p,2024-01-17 14:38:34,youtube,Promocode_top,6
20240221_t9lwchinkp,2024-02-21 17:19:21,appLovin,Campaign332,6
20240208_2kvb9f9x6u,2024-02-08 22:01:56,youtube,referral_target,10
20240221_v5n13p5csh,2024-02-21 22:05:05,appLovin,Campaign_1221,6
20240322_02vunqup7g,2024-03-22 13:07:52,youtube,Promocode_target11,6
20240220_9z7c82koe1,2024-02-20 06:29:44,tiktok_ads,Campaign_LSR14,2
20240411_8xzk6cp089,2024-04-11 19:38:11,tiktok_ads,Campaign_LSR14,2
20240420_59uiohclzb,2024-04-20 18:36:58,tiktok_ads,Campaign_eeR_v2,3
20240201_y9kycyzvqu,2024-02-01 15:39:32,tiktok_ads,Campaign_pre34,4
20240311_9d8twkwbuz,2024-03-11 00:48:51,tiktok_ads,Campaign_LSR14,3
20240202_wcycj61pqz,2024-02-02 23:20:29,youtube,referral_target,8
20240119_kcc9arpkyt,2024-01-19 09:33:08,tiktok_ads,Campaign_LSR14,2
20240117_f8m2as6a1h,2024-01-17 15:53:49,tiktok_ads,Campaign_LSR14,3
20240104_197wv43rm2,2024-01-04 20:01:06,appLovin,Campaign332,7
20240203_oygn7m1u9z,2024-02-03 04:12:37,youtube,Shorts_v3,7
20240120_lxida3000s,2024-01-20 08:05:11,tiktok_ads,Campaign_pre34,4
20240330_q8wji3q9zs,2024-03-30 16:50:06,tiktok_ads,Campaign_LSR14,2
20240106_bthk96pvf4,2024-01-06 22:44:08,youtube,referral_target,7
20240428_3w41lyjqto,2024-04-28 05:12:44,youtube,Promocode_top,7
20240312_45yyvjj8or,2024-03-12 20:10:50,youtube,Promocode_target11,5
20240102_igkwui87iz,2024-01-02 06:42:56,youtube,Shorts_v3,7
20240404_inz1vkgzxt,2024-04-04 21:17:20,youtube,referral_target,9
20240321_31nl7vppln,2024-03-21 05:04:34,tiktok_ads,Campaign_LSR14,2
20240214_xexc2bowxs,2024-02-14 09:01:52,tiktok_ads,Campaign_pre34,2
20240119_yyo1l80ycw,2024-01-19 20:23:42,appLovin,Campaign_1221,8
20240126_8wkuvozw59,2024-01-26 04:59:29,appLovin,Campaign332,6
20240124_fntfsys5qw,2024-01-24 09:53:21,adMob,pop_Games,3
20240203_4pfjqnd55y,2024-02-03 09:05:47,youtube,referral_target,9
20240105_0t6ye3wc7f,2024-01-05 19:26:49,adMob,target_apps1212,5
20240119_oj791xd3ao,2024-01-19 14:03:04,tiktok_ads,Campaign_LSR14,2
20240212_n37o5xhbyo,2024-02-12 10:18:53,youtube,Promocode_top,8
20240222_7qooai5358,2024-02-22 17:19:52,youtube,referral_target,6
20240229_gx09wpwv90,2024-02-29 04:37:53,tiktok_ads,Campaign_pre34,3
20240118_0ja099wop4,2024-01-18 12:32:39,tiktok_ads,Campaign_eeR_v2,4
20240213_um2ez6vewm,2024-02-13 12:45:36,tiktok_ads,Campaign_LSR14,3
20240207_fhbq4tlijo,2024-02-07 09:38:25,adMob,pop_Games,4
20240309_wwps0crh55,2024-03-09 23:49:40,tiktok_ads,Campaign_eeR_v2,4
20240426_gi3zw4g74t,2024-04-26 09:49:16,tiktok_ads,Campaign_eeR_v2,3
20240428_x1k53exgz6,2024-04-28 18:49:32,tiktok_ads,Campaign_pre34,3
20240318_os7j1cjs21,2024-03-18 22:45:23,adMob,pop_Games,5
20240117_vwx5jkz40x,2024-01-17 02:44:23,youtube,Promocode_target11,3
20240330_4hukqy2u2q,2024-03-30 19:26:13,ironSource,ID_4443d,1
20240330_ux7ce0fkgh,2024-03-30 15:03:30,tiktok_ads,Campaign_LSR14,2
20240419_0v2q287y05,2024-04-19 06:54:20,tiktok_ads,Campaign_KAW23,2
20240119_sr0oyqlde5,2024-01-19 00:09:44,adMob,pop_Games,3
20240110_51cjcq42lc,2024-01-10 14:21:43,tiktok_ads,Campaign_pre34,4
20240317_mhrjn8yvba,2024-03-17 04:27:34,appLovin,Campaign_1221,5
20240221_c70f4fx94x,2024-02-21 13:36:11,adMob,Small_games24,1
20240311_me3g2rhi7n,2024-03-11 07:30:04,appLovin,Campaign332,7
20240110_466qwbl2p9,2024-01-10 20:49:17,youtube,referral_target,9
20240331_i8v2hr2uem,2024-03-31 16:51:48,ironSource,ID_4443d,2
20240427_a1pslfphf6,2024-04-27 22:11:39,youtube,referral_target,8
20240303_3su9zuggmy,2024-03-03 09:45:46,ironSource,ID_4443d,1
20240404_77vszw39ql,2024-04-04 04:08:58,youtube,Promocode_target11,4
20240125_tzlzuhl0mb,2024-01-25 01:49:12,youtube,Shorts_v3,6
20240219_m73ey7wwtf,2024-02-19 17:41:19,youtube,Promocode_target11,4
20240217_nbcfhusab2,2024-02-17 01:22:16,youtube,referral_target,7
20240131_90tmieizu9,2024-01-31 05:36:23,youtube,Shorts_v3,6
20240101_dcj1q2yruj,2024-01-01 16:27:34,youtube,Shorts_v3,5
20240427_3zq438fzho,2024-04-27 12:43:38,tiktok_ads,Campaign_pre34,3
20240204_fy5spxtq2k,2024-02-04 23:27:31,tiktok_ads,Campaign_LSR14,2
20240108_3ojmykh557,2024-01-08 19:52:54,tiktok_ads,Campaign_eeR_v2,4
20240409_8ckp0y1mq5,2024-04-09 11:43:40,tiktok_ads,Campaign_KAW23,2
20240304_bqvye34b9u,2024-03-04 12:36:23,tiktok_ads,Campaign_eeR_v2,5
20240419_q2vhmqruya,2024-04-19 02:37:51,youtube,Promocode_target11,3
20240408_ewd87byo2s,2024-04-08 14:44:41,youtube,referral_target,10
20240322_7hi1648acu,2024-03-22 09:48:53,tiktok_ads,Campaign_eeR_v2,3
20240204_zt3chr4fxr,2024-02-04 12:20:20,tiktok_ads,Campaign_pre34,4
20240112_d9e0gsfjgw,2024-01-12 19:25:45,youtube,Promocode_target11,3
20240312_usqgzf40op,2024-03-12 17:19:38,youtube,Promocode_top,5
20240215_av95i3sm0k,2024-02-15 21:25:07,tiktok_ads,Campaign_KAW23,2
20240325_3tn3vn1xn1,2024-03-25 02:44:24,tiktok_ads,Campaign_pre34,3
20240406_cm8e92iuli,2024-04-06 14:19:10,tiktok_ads,Campaign_pre34,3
20240430_3ukejrhihy,2024-04-30 11:56:27,tiktok_ads,Campaign_eeR_v2,4
20240220_tvs859y3p4,2024-02-20 23:44:39,youtube,Shorts_v3,7
20240404_uz6az44ig1,2024-04-04 15:46:23,tiktok_ads,Campaign_KAW23,1
20240209_mcdkn6hkez,2024-02-09 15:39:10,tiktok_ads,Campaign_LSR14,1
20240327_zslp83jxpx,2024-03-27 07:37:22,tiktok_ads,Campaign_eeR_v2,3
20240214_pqpknwijlu,2024-02-14 04:28:33,youtube,Promocode_top,8
20240124_uegumsdkeo,2024-01-24 06:51:15,youtube,Promocode_target11,3
20240415_4eiz82hvow,2024-04-15 07:29:45,appLovin,Campaign_1221,7
20240225_rsj98aug6h,2024-02-25 04:38:58,tiktok_ads,Campaign_pre34,3
20240416_5wkam1th08,2024-04-16 23:53:44,youtube,Shorts_v3,4
20240417_xep3wm9ddv,2024-04-17 05:08:21,youtube,referral_target,9
20240224_ql2k7j5s8i,2024-02-24 10:35:59,youtube,referral_target,6
20240418_jbhnqchjkr,2024-04-18 10:31:59,youtube,Promocode_top,5
20240117_0dd8mwvzj7,2024-01-17 02:34:14,ironSource,ID_4443d,1
20240205_nlvdsso8kj,2024-02-05 06:02:42,tiktok_ads,Campaign_KAW23,1
20240216_skbho2r3a8,2024-02-16 07:11:06,youtube,Promocode_top,8
20240126_g0rcqoxqhh,2024-01-26 15:24:29,tiktok_ads,Campaign_eeR_v2,5
20240305_p87lke67hb,2024-03-05 12:06:09,youtube,Shorts_v3,4
20240202_4pwit824ss,2024-02-02 00:28:00,youtube,Promocode_top,7
20240419_qw2u5e0g8d,2024-04-19 15:19:21,ironSource,ID_fdgj123,1
20240415_if2vt48qcq,2024-04-15 03:42:03,youtube,referral_target,7
20240107_zzhv4zo64x,2024-01-07 03:04:34,tiktok_ads,Campaign_eeR_v2,4
20240112_5ucd2laier,2024-01-12 23:15:23,youtube,Promocode_top,4
20240225_eyd19xifyd,2024-02-25 13:39:32,tiktok_ads,Campaign_eeR_v2,5
20240106_w9ba0mkvpu,2024-01-06 03:22:10,appLovin,Campaign332,7
20240417_6lbapgr21h,2024-04-17 13:01:26,youtube,referral_target,10
20240406_y6zq3r6tkf,2024-04-06 10:01:34,tiktok_ads,Campaign_KAW23,1
20240413_4wdcdhppzk,2024-04-13 05:34:01,tiktok_ads,Campaign_pre34,3
20240420_d560gb094h,2024-04-20 02:38:48,appLovin,Campaign_1221,6
20240127_b4knqwvql4,2024-01-27 23:47:06,tiktok_ads,Campaign_eeR_v2,4
20240303_vevyocyts0,2024-03-03 23:27:36,tiktok_ads,Campaign_pre34,2
20240402_9ein645sop,2024-04-02 17:49:42,adMob,pop_Games,3
20240416_bl9kthqq9q,2024-04-16 00:43:11,youtube,Promocode_top,8
20240107_t679e4gl63,2024-01-07 23:10:04,youtube,Shorts_v3,5
20240218_1p3oc477dt,2024-02-18 11:40:35,appLovin,Campaign332,6
20240430_no74xn1ylu,2024-04-30 03:00:31,tiktok_ads,Campaign_KAW23,2
20240220_bv48wdpx10,2024-02-20 06:31:14,tiktok_ads,Campaign_KAW23,1
20240205_eh0l0s53vp,2024-02-05 17:32:34,tiktok_ads,Campaign_LSR14,2
20240119_lyqv02auts,2024-01-19 11:56:34,youtube,Promocode_target11,6
20240229_xtn8wng5ca,2024-02-29 08:47:40,tiktok_ads,Campaign_pre34,3
20240115_ebduf70dqf,2024-01-15 19:32:06,youtube,Promocode_top,4
20240331_ddnhit06dx,2024-03-31 17:30:31,youtube,Promocode_target11,5
20240309_d11m9l90yv,2024-03-09 15:25:22,youtube,Promocode_top,7
20240307_q1an4v9x5u,2024-03-07 15:15:10,youtube,Shorts_v3,4
20240408_xd2qlpcuwi,2024-04-08 06:19:09,tiktok_ads,Campaign_LSR14,3
20240415_nd7sy8b14q,2024-04-15 01:36:57,youtube,Promocode_top,6
20240125_xl4zv7fhcx,2024-01-25 05:30:35,tiktok_ads,Campaign_pre34,3
20240225_uc63tfzw0v,2024-02-25 01:03:30,appLovin,Campaign332,6
20240216_tr5wtq8wo3,2024-02-16 22:40:44,tiktok_ads,Campaign_LSR14,3
20240225_ibtz3ximqw,2024-02-25 15:43:13,tiktok_ads,Campaign_LSR14,3
20240416_cjrc6nbjdr,2024-04-16 08:54:35,youtube,Promocode_target11,3
20240130_toto3aj4ai,2024-01-30 21:01:31,adMob,target_apps1212,6
20240109_857l36han7,2024-01-09 09:16:17,ironSource,ID_4443d,3
20240330_faasrpcfgr,2024-03-30 10:42:29,tiktok_ads,Campaign_eeR_v2,4
20240103_q5atq83p86,2024-01-03 20:49:47,tiktok_ads,Campaign_KAW23,2
20240323_vdnn5dft1g,2024-03-23 13:55:54,tiktok_ads,Campaign_KAW23,1
20240109_fol8tmqhej,2024-01-09 21:20:21,tiktok_ads,Campaign_KAW23,1
20240129_3t3zh6gk1y,2024-01-29 07:35:13,youtube,referral_target,9
20240425_szprot9tg3,2024-04-25 04:38:08,tiktok_ads,Campaign_LSR14,2
20240401_ylliiv2yaj,2024-04-01 13:07:54,tiktok_ads,Campaign_pre34,4
20240327_r8kldch0hb,2024-03-27 12:39:20,tiktok_ads,Campaign_LSR14,1
20240108_pv65sfaec1,2024-01-08 18:31:57,tiktok_ads,Campaign_KAW23,1
20240129_9xmr0vmavk,2024-01-29 18:42:44,adMob,pop_Games,4
20240221_dc58uuvbbw,2024-02-21 00:10:22,adMob,Small_games24,2
20240109_uepyysiy7i,2024-01-09 08:47:36,appLovin,Campaign_1221,6
20240305_iotcfry4eq,2024-03-05 01:20:30,youtube,Promocode_top,7
20240426_8ikletqfzj,2024-04-26 00:18:11,adMob,pop_Games,4
20240217_78c9749ll6,2024-02-17 14:14:53,appLovin,Campaign332,6
20240223_moeu0y2afa,2024-02-23 03:00:37,tiktok_ads,Campaign_LSR14,1
20240101_cogo868k4v,2024-01-01 13:34:54,ironSource,ID_ekvpa23,2
20240117_b6rie2k8vv,2024-01-17 14:58:38,tiktok_ads,Campaign_pre34,2
20240423_c2c1jwkzs4,2024-04-23 09:40:49,youtube,Promocode_top,7
20240112_icy6e0y57u,2024-01-12 06:28:33,youtube,referral_target,6
20240401_k9vq1j17hg,2024-04-01 12:40:11,tiktok_ads,Campaign_eeR_v2,3
20240306_nexrjgrowd,2024-03-06 01:38:09,youtube,referral_target,10
20240118_ervj0xwzn2,2024-01-18 13:40:02,tiktok_ads,Campaign_KAW23,2
20240410_i8r225t9oz,2024-04-10 13:37:01,youtube,referral_target,7
20240324_a9kbvwbmgz,2024-03-24 11:59:31,youtube,referral_target,6
20240127_k777hoc4mh,2024-01-27 00:10:17,tiktok_ads,Campaign_eeR_v2,5
20240218_0pjsx41326,2024-02-18 18:36:06,youtube,Promocode_target11,4
20240109_iiv5khn8bp,2024-01-09 04:25:54,tiktok_ads,Campaign_pre34,3
20240124_d0cdvfdjw7,2024-01-24 21:37:21,youtube,Shorts_v3,5
20240220_6um4ebc8xh,2024-02-20 03:18:06,appLovin,Campaign332,6
20240405_it8w4311wv,2024-04-05 17:38:42,tiktok_ads,Campaign_pre34,2
20240114_kxj9t6g3ye,2024-01-14 08:55:33,tiktok_ads,Campaign_LSR14,2
20240130_t3ir1to2s8,2024-01-30 05:54:15,youtube,Promocode_target11,6
20240210_qv9l0xgrd2,2024-02-10 18:54:56,tiktok_ads,Campaign_pre34,3
20240123_acygkjpez0,2024-01-23 13:58:14,tiktok_ads,Campaign_KAW23,1
20240216_exyqtu8mdo,2024-02-16 11:37:13,tiktok_ads,Campaign_eeR_v2,5
20240324_wib3it8y08,2024-03-24 15:47:38,youtube,Promocode_target11,4
20240304_yf4xpal2mr,2024-03-04 05:05:56,tiktok_ads,Campaign_LSR14,1
20240329_llwtrbzgc0,2024-03-29 06:28:37,tiktok_ads,Campaign_eeR_v2,5
20240129_oas3onlsby,2024-01-29 09:34:44,youtube,Promocode_top,5
